English,Spanish
the,el
of,de
and,y
to,a
in,en
a,a
is,es
was,era
that,eso
for,para
as,como
with,con
by,por
on,en
are,son
from,de
be,ser
or,o
his,su
were,eran
it,él
an,un
at,en
not,no
which,cual
have,tener
he,él
had,tenía
this,este
has,tiene
also,también
their,su
but,pero
one,uno
can,poder
its,es
on,en
the,el
other,otro
been,estado
more,más
they,ellos
used,usado
first,primero
all,todo
two,dos
citation,citación
than,que
into,en
would,haría
only,solo
time,tiempo
who,OMS
most,mayoría
may,puede
such,semejante
some,alguno
many,muchos
when,cuando
after,después
between,entre
over,encima
these,estos
her,su
about,acerca de
there,allá
use,usar
no,No
them,a ellos
new,nuevo
him,a él
will,voluntad
out,afuera
during,durante
made,hecho
both,ambos
then,entonces
often,a menudo
so,entonces
any,cualquier
being,ser
such,semejante
as,como
where,dónde
number,número
could,podría
main,principal
p.,pag.
through,a través de
system,sistema
people,gente
known,conocido
each,cada
while,mientras
if,si
called,llamado
convert,convertir
same,mismo
later,más tarde
three,tres
because,porque
well,Bueno
work,trabajar
before,antes
the,el
same,mismo
under,bajo
part,parte
very,muy
different,diferente
became,convertirse
year,año
did,hizo
large,grande
example,ejemplo
several,varios
city,ciudad
early,temprano
until,hasta
much,mucho
government,gobierno
found,encontró
own,propio
since,desde
she,ella
even,incluso
form,forma
power,fuerza
do,hacer
those,aquellos
around,alrededor
state,estado
including,incluido
set,colocar
high,alto
life,vida
against,contra
second,segundo
century,siglo
within,dentro
world,mundo
still,aún
end,fin
using,usando
small,pequeño
name,nombre
what,qué
now,ahora
usually,generalmente
American,Americano
without,sin
however,sin embargo
began,comenzó
like,como
as,como
well,Bueno
area,área
make,hacer
common,común
the,el
most,mayoría
water,agua
United,Unido
States,Estados
another,otro
way,forma
due,pendiente
must,debe
long,largo
less,menos
four,cuatro
death,muerte
said,dicho
film,película
order,orden
due,pendiente
to,a
back,atrás
public,público
does,hace
left,izquierda
based,basado
few,pocos
become,convertirse
known,conocido
as,como
s,s
given,dado
country,país
major,importante
British,británico
place,lugar
group,grupo
considered,consideró
among,entre
game,juego
point,punto
used,usado
to,a
period,período
support,apoyo
war,guerra
music,música
down,abajo
million,millón
important,importante
systems,sistemas
control,control
should,debería
took,tomó
day,día
family,familia
language,idioma
last,último
original,original
result,resultado
political,político
line,línea
members,miembros
case,caso
as,como
well,Bueno
as,como
see,ver
single,soltero
just,justo
process,proceso
along,a lo largo de
similar,similar
take,llevar
following,siguiente
we,nosotros
although,a pesar de
countries,países
right,bien
either,cualquiera
times,veces
areas,áreas
published,publicado
the,el
other,otro
local,local
include,incluir
population,población
never,nunca
data,datos
home,hogar
every,cada
various,varios
the,el
time,tiempo
modern,moderno
further,más
development,desarrollo
per,por
how,cómo
led,condujo
possible,posible
military,militar
popular,popular
term,término
though,aunque
history,historia
generally,generalmente
you,tú
off,apagado
rather,bastante
men,hombres
law,ley
developed,desarrollado
German,Alemán
held,sostuvo
human,humano
production,producción
body,cuerpo
general,general
the,el
world,mundo
light,luz
sometimes,a veces
states,estados
late,tarde
field,campo
based,basado
on,en
having,teniendo
came,vino
above,arriba
available,disponible
book,libro
others,otros
York,York
next,próximo
created,creado
U.S.,A NOSOTROS.
show,espectáculo
himself,él mismo
out,afuera
of,de
wrote,escribió
days,días
died,fallecido
word,palabra
play,jugar
again,de nuevo
great,excelente
service,servicio
age,edad
seen,visto
children,niños
level,nivel
released,liberado
works,obras
continued,continuado
pp.,páginas.
the,el
two,dos
five,cinco
higher,más alto
species,especies
energy,energía
required,requerido
change,cambiar
means,medio
team,equipo
January,Enero
information,información
theory,teoría
New,Nuevo
York,York
produced,producido
making,haciendo
built,construido
design,diseño
role,role
addition,suma
included,incluido
almost,casi
side,lado
position,posición
groups,grupos
able,capaz
de,Delaware
land,tierra
total,total
range,rango
July,Julio
national,nacional
space,espacio
written,escrito
social,social
version,versión
Europe,Europa
season,estación
force,fuerza
air,aire
allowed,permitido
largest,más grande
good,bien
type,tipo
itself,sí mismo
received,recibió
women,mujer
low,bajo
throughout,a lo largo de
taken,tomado
standard,estándar
little,pequeño
least,el menos
that,eso
is,es
free,gratis
cases,casos
size,tamaño
thus,de este modo
school,escuela
especially,especialmente
old,viejo
upon,al
particular,particular
terms,términos
effect,efecto
provide,proporcionar
lower,más bajo
certain,cierto
together,juntos
present,presente
always,siempre
short,corto
parts,partes
words,palabras
third,tercero
April,Abril
described,descrito
too,también
up,arriba
to,a
established,establecido
might,podría
played,jugó
forces,efectivo
natural,natural
June,Junio
once,una vez
months,meses
rate,tasa
European,europeo
numbers,números
six,seis
man,hombre
rather,bastante
than,que
hand,mano
typically,típicamente
value,valor
England,Inglaterra
London,Londres
October,Octubre
could,podría
be,ser
final,final
the,el
country,país
September,Septiembre
average,promedio
France,Francia
instead,en cambio
current,actual
December,Diciembre
international,internacional
program,programa
character,personaje
increased,aumentó
a,a
few,pocos
surface,superficie
across,al otro lado de
thought,pensamiento
company,compañía
followed,seguido
best,mejor
provided,proporcionó
economic,económico
games,juegos
significant,significativo
named,llamado
function,función
building,edificio
went,fue
return,devolver
uses,usos
fact,hecho
study,estudiar
below,abajo
full,lleno
source,fuente
lost,perdido
America,America
person,persona
a,a
number,número
changes,cambios
longer,más extenso
research,investigación
individual,individual
languages,lenguas
strong,fuerte
structure,estructura
party,fiesta
larger,más grande
run,correr
open,abierto
cause,causa
aircraft,aeronave
away,lejos
far,lejos
region,región
need,necesidad
food,alimento
forms,formularios
increase,aumentar
outside,afuera
started,comenzó
material,material
cannot,no puedo
November,Noviembre
half,medio
head,cabeza
market,mercado
near,cerca
record,registro
traditional,tradicional
special,especial
style,estilo
all,todo
the,el
sent,enviado
story,historia
February,Febrero
player,jugador
designed,diseñado
top,arriba
at,en
least,el menos
themselves,ellos mismos
model,modelo
returned,devuelto
band,banda
because,porque
of,de
help,ayuda
types,tipos
come,venir
points,puntos
added,agregado
events,eventos
network,red
limited,limitado
services,servicios
nature,naturaleza
army,ejército
former,anterior
father,padre
close,cerca
view,vista
allow,permitir
won,ganado
specific,específico
elements,elementos
practice,práctica
lines,líneas
gave,dio
pressure,presión
introduced,introducido
produce,producir
moved,movido
whether,si
religious,religioso
put,poner
official,oficial
movement,movimiento
my,mi
Germany,Alemania
students,estudiantes
trade,comercio
method,método
attack,ataque
in,en
order,orden
problems,problemas
art,arte
eventually,eventualmente
evidence,evidencia
referred,referido
results,resultados
caused,causado
remained,se mantuvo
influence,influencia
success,éxito
meaning,significado
brought,trajo
believed,creído
enough,suficiente
features,características
give,dar
young,joven
white,blanco
culture,cultura
problem,problema
characters,caracteres
lead,dirigir
action,acción
according,de acuerdo a
referred,referido
to,a
conditions,condiciones
performance,actuación
according,de acuerdo a
to,a
effects,efectos
amount,cantidad
black,negro
business,negocio
working,laboral
better,mejor
difficult,difícil
temperature,temperatura
education,educación
real,real
money,dinero
smaller,menor
create,crear
located,situado
directly,directamente
sound,sonido
leading,principal
ground,suelo
therefore,por lo tanto
get,conseguir
private,privado
formed,formado
particularly,particularmente
Chinese,Chino
television,televisión
subject,sujeto
south,sur
cities,ciudades
album,álbum
class,clase
industry,industria
computer,computadora
beginning,comienzo
community,comunidad
already,ya
complete,completo
go,ir
players,jugadores
associated,asociado
related,relacionado
physical,físico
our,nuestro
town,ciudad
move,mover
complex,complejo
interest,interés
rule,regla
speed,velocidad
commonly,comúnmente
in,en
order,orden
to,a
rights,derechos
living,viviendo
for,para
example,ejemplo
greater,mayor que
writing,escribiendo
find,encontrar
growth,crecimiento
killed,delicado
court,corte
levels,nivel
house,casa
against,contra
the,el
office,oficina
done,hecho
shows,espectáculos
Spanish,Español
needed,necesario
saw,sierra
central,central
entire,completo
fire,fuego
son,hijo
books,libros
mostly,principalmente
access,acceso
soon,pronto
today,hoy
earlier,más temprano
variety,variedad
additional,adicional
percent,por ciento
foreign,extranjero
ever,alguna vez
recorded,grabado
future,futuro
widely,ampliamente
title,título
all,todo
of,de
shown,mostrado
successful,exitoso
radio,radio
project,proyecto
construction,construcción
changed,cambió
king,rey
remains,restos
mass,masa
personal,personal
policy,política
code,código
includes,incluir
involved,involucrado
Africa,África
idea,idea
names,nombres
separate,separado
base,base
length,longitud
rules,normas
key,llave
units,unidades
likely,probable
makes,marcas
release,liberar
cost,costo
church,iglesia
films,Película (s
majority,mayoría
primary,primario
performed,realizado
methods,métodos
stated,fijado
appear,aparecer
whole,entero
so,entonces
that,eso
member,miembro
allows,permitir
decided,decidido
Japanese,japonés
reported,reportado
sold,vendido
capital,capital
science,ciencia
society,sociedad
rest,descansar
stage,escenario
event,evento
whose,cuyo
recent,reciente
color,color
legal,legal
highly,altamente
career,carrera
song,canción
frequently,frecuentemente
placed,metido
simple,simple
defined,definido
me,a mí
mother,madre
appeared,apareció
India,India
schools,escuelas
turn,doblar
simply,simplemente
relationship,relación
multiple,múltiple
nearly,cerca de
sense,sentido
past,pasado
relatively,relativamente
forced,forzado
software,software
attempt,intentar
north,norte
William,Guillermo
quickly,rápidamente
companies,compañías
programs,programas
products,productos
direct,directo
site,sitio
sources,fuentes
previous,anterior
technology,tecnología
battle,batalla
front,frente
provides,brindar
necessary,necesario
served,servido
originally,originalmente
along,a lo largo de
with,con
approach,acercarse
image,imagen
seven,Siete
experience,experiencia
Greek,Griego
parts,partes
of,de
text,texto
towards,hacia
completed,terminado
memory,memoria
ability,capacidad
commercial,comercial
UK,Reino Unido
health,salud
replaced,reemplazado
worked,trabajó
yet,todavía
start,comenzar
economy,economía
highest,el más alto
property,propiedad
behind,detrás
knowledge,conocimiento
test,prueba
response,respuesta
largely,en gran parte
sea,mar
reached,alcanzó
president,presidente
wide,ancho
night,noche
operations,operaciones
supported,soportado
act,acto
training,capacitación
reason,razón
Britain,Bretaña
list,lista
issues,asuntos
occur,ocurrir
loss,pérdida
the,el
government,gobierno
reduced,reducido
active,activo
functions,funciones
remain,permanecer
lack,falta
to,a
do,hacer
clear,claro
gas,gas
island,isla
cells,células
taking,tomando
contains,contiene
takes,acepta
approximately,aproximadamente
exist,existir
basis,base
distance,distancia
independent,independiente
intended,destinado
elected,elegido
product,producto
adopted,adoptado
actually,de hecho
wife,esposa
ended,terminado
born,nacido
Christian,cristiano
keep,mantener
potential,potencial
course,curso
matter,asunto
love,amar
issue,asunto
objects,objetos
things,cosas
heavy,pesado
oil,aceite
center,centro
regular,regular
George,Jorge
the,el
following,siguiente
divided,dividido
eight,ocho
date,fecha
James,Jaime
summer,verano
direction,dirección
laws,leyes
numerous,numeroso
account,cuenta
income,ingreso
individuals,individuos
concept,concepto
plan,plan
announced,Anunciado
Russian,ruso
failed,fallido
applied,aplicado
values,valores
northern,del Norte
proposed,propuesto
ships,buques
resulting,resultante
estimated,estimado
appears,aparecer
continue,continuar
Canada,Canadá
red,rojo
married,casado
object,objeto
studies,estudios
media,medios de comunicación
engine,motor
passed,aprobado
Henry,Enrique
Australia,Australia
machine,máquina
quality,calidad
founded,fundado
hold,sostener
say,decir
parties,fiestas
letter,carta
Japan,Japón
expected,esperado
treatment,tratamiento
normal,normal
signal,señal
blood,sangre
financial,financiero
status,estado
video,video
older,más viejo
carried,transportado
compared,comparado
know,saber
wanted,buscado
accepted,aceptado
via,a través de
read,leer
each,cada
other,otro
types,tipos
of,de
animals,animales
turned,transformado
unit,unidad
feature,característica
southern,del Sur
increasing,creciente
met,reunió
prevent,prevenir
songs,canciones
applications,aplicaciones
require,requerir
opened,abrió
marriage,casamiento
contain,contener
equipment,equipo
playing,jugando
section,sección
remaining,restante
properties,propiedades
asked,preguntó
the,el
case,caso
ten,diez
Charles,Charles
activity,actividad
whom,a quien
ways,maneras
buildings,edificios
basic,básico
probably,probablemente
running,correr
materials,materiales
stories,cuentos
edition,edición
location,ubicación
noted,anotado
cell,celúla
analysis,análisis
Russia,Rusia
Rome,Roma
removed,remoto
becomes,se convierte en
paper,papel
activities,actividades
billion,mil millones
fall,caer
child,niño
cut,cortar
operating,operando
degree,grado
ship,barco
occurs,ocurre
less,menos
than,que
novel,novedoso
completely,completamente
except,excepto
inside,adentro
Robert,Robert
troops,tropas
Jewish,judío
report,informe
call,llamar
flow,fluir
metal,metal
appointed,fijado
offered,Ofrecido
told,dijo
frequency,frecuencia
initial,inicial
campaign,campaña
discovered,descubierto
definition,definición
historical,histórico
models,modelos
allowing,permitido
operation,operación
police,policía
poor,pobre
weight,peso
not,no
have,tener
ancient,antiguo
here,aquí
primarily,ante todo
agreed,acordado
hit,golpear
west,Oeste
heat,calor
security,seguridad
David,David
claimed,reclamado
positive,positivo
easily,fácilmente
environment,ambiente
scientific,científico
going,yendo
regions,regiones
ISBN,ISBN
ball,pelota
tradition,tradición
reach,alcanzar
requires,requerimiento
St.,Calle.
extended,extendido
charge,cargar
female,femenino
face,rostro
serve,atender
equal,igual
Italy,Italia
letters,letras
refused,rechazado
immediately,inmediatamente
believe,creer
supply,suministrar
effective,eficaz
internal,interno
versions,versiones
cultural,cultural
leave,dejar
th,th
mainly,principalmente
negative,negativo
soldiers,soldados
question,pregunta
spread,desparramar
suggested,sugirió
Paul,Pablo